# T9	Mean Rate	One Sigma
0.0737455	111285.945	1.0095118
0.0751193	117238.375	1.0099332
0.0765187	123439.71	1.0099003
0.0779442	130015.95	1.0098802
0.0793962	136776.9	1.0102812
0.0808752	143941.52	1.0098462
0.0823819	151433.33	1.0098301
0.0839166	159239.8	1.0097413
0.0854798	167376.69	1.0096042
0.0870722	175800.47	1.0105073
0.0886943	184817.56	1.0097396
0.0903466	194029.05	1.0101504
0.0920297	203568.72	1.0101403
0.0937441	213726.5	1.0097648
0.0954904	224105.22	1.0099951
0.0972693	235099.56	1.0093404
0.0990814	246412.84	1.010226
0.1009272	258219.12	1.0096655
0.1028073	270739.47	1.0094969
0.1047225	283412.47	1.0103058
0.1066734	296832.84	1.0094812
0.1086606	310559.1	1.009799
0.1106848	325111.94	1.0100391
0.1127468	339954.78	1.0101309
0.1148472	355581.47	1.0095172
0.1169866	371678.56	1.0099255
0.119166	388491.2	1.0104014
0.1213859	405986.0	1.0095755
0.1236472	423812.66	1.0101988
0.1259506	442513.56	1.0099734
0.128297	462276.5	1.0096335
0.130687	481976.5	1.0098163
0.1331216	503082.5	1.010004
0.1356015	525126.3	1.009537
0.1381276	547241.56	1.0101391
0.1407008	570379.1	1.0099432
0.1433219	594473.1	1.0094959
0.1459919	619417.1	1.010065
0.1487115	645177.94	1.0096124
0.1514819	671920.0	1.0098397
0.1543038	699277.56	1.0097493
0.1571784	727747.4	1.0095592
0.1601064	757445.44	1.0097773
0.1630891	787983.6	1.009565
0.1661273	819096.4	1.0096818
0.169222	852050.06	1.0094475
0.1723745	884737.0	1.0099857
0.1755856	919423.7	1.0096645
0.1788566	955178.25	1.0097134
0.1821885	992434.94	1.0095006
0.1855825	1030468.3	1.0098178
0.1890397	1069813.5	1.0099641
0.1925614	1110231.0	1.0099677
0.1961486	1151773.8	1.0099875
0.1998026	1194537.2	1.009868
0.2035248	1239103.1	1.009592
0.2073162	1285182.1	1.0097444
0.2111783	1331721.5	1.0099628
0.2151123	1380676.1	1.0094688
0.2191197	1430611.9	1.0096695
0.2232016	1481097.1	1.009737
0.2273597	1534073.8	1.0094576
0.2315951	1589014.9	1.009808
0.2359095	1644780.9	1.0095646
0.2403043	1701321.4	1.0099844
0.2447809	1760404.5	1.0102036
0.2493409	1821515.5	1.0099525
0.2539859	1883989.8	1.0100073
0.2587174	1948543.2	1.0098561
0.2635371	2014493.4	1.0100045
0.2684465	2082385.2	1.0100777
0.2734474	2151135.8	1.0099235
0.2785414	2222495.8	1.0100394
0.2837304	2296296.0	1.0099356
0.289016	2371935.0	1.0095825
0.2944	2448662.0	1.009769
0.2998844	2527817.5	1.0097549
0.305471	2609081.8	1.009883
0.3111616	2693005.2	1.0096662
0.3169582	2778351.8	1.0100279
0.3228628	2864992.5	1.0098177
0.3288774	2954892.0	1.0099366
0.3350041	3046852.8	1.0101104
0.3412449	3141955.5	1.0099286
0.3476019	3237970.2	1.00962
0.3540774	3338196.2	1.0095503
0.3606735	3439731.2	1.0097135
0.3673925	3541390.5	1.0097831
0.3742366	3649506.2	1.0099218
0.3812083	3756102.5	1.0100391
0.3883098	3867246.2	1.0097497
0.3955436	3981621.2	1.0099514
0.4029122	4100544.8	1.0097765
0.4104181	4216587.0	1.0098786
0.4180637	4339539.0	1.0101653
0.4258518	4462977.5	1.0095417
0.433785	4589559.0	1.0098099
0.441866	4720651.0	1.0099815
0.4500975	4853257.0	1.0098544
0.4584824	4989346.5	1.0099319
0.4670234	5130134.0	1.009797
0.4757236	5269632.0	1.0101207
0.4845859	5416950.0	1.0096664
0.4936132	5562813.0	1.0093702
0.5028087	5714634.0	1.0096734
0.5121755	5863639.5	1.0100307
0.5217169	6028031.0	1.0093253
0.5314359	6189438.0	1.0096321
0.541336	6354097.0	1.009045
0.5514206	6515963.5	1.0106244
0.561693	6691816.5	1.009915
0.5721568	6863369.5	1.0101309
0.5828155	7046146.5	1.009358
0.5936727	7221925.5	1.0101994
0.6047322	7403081.0	1.0100913
0.6159978	7599737.5	1.0094522
0.6274732	7786348.0	1.0094714
0.6391624	7984938.5	1.01024
0.6510694	8179439.0	1.0102121
0.6631981	8384818.5	1.0099818
0.6755528	8595508.0	1.0101143
0.6881377	8804094.0	1.0099629
0.700957	9020945.0	1.0094175
0.7140151	9239654.0	1.0094991
0.7273165	9466527.0	1.0101686
0.7408657	9681099.0	1.0104793
0.7546673	9920719.0	1.0099885
0.768726	10136575.0	1.0107927
0.7830465	10385041.0	1.0095108
0.7976339	10620334.0	1.0104004
0.812493	10879540.0	1.0093861
0.8276289	11141657.0	1.0091442
0.8430468	11387695.0	1.0097772
0.8587519	11654177.0	1.0097245
0.8747496	11926232.0	1.0091691
0.8910453	12173163.0	1.0094142
0.9076446	12446258.0	1.0100782
0.9245531	12723365.0	1.0095308
0.9417766	13013934.0	1.0097048
0.9593209	13299146.0	1.0102193
0.9771921	13586897.0	1.0103761
0.9953962	13888982.0	1.0093689
1.0139395	14185018.0	1.008789
1.0328281	14485167.0	1.0098634
1.0520687	14787138.0	1.0096802
1.0716676	15107716.0	1.0108024
1.0916317	15411816.0	1.0103183
1.1119677	15722028.0	1.0105845
1.1326826	16053573.0	1.0118303
1.1537833	16396018.0	1.0084157
1.1752771	16736542.0	1.0113454
1.1971713	17095388.0	1.0110551
1.2194734	17446626.0	1.0103819
1.242191	17807384.0	1.0099585
1.2653318	18155364.0	1.0089582
1.2889036	18534716.0	1.0096333
1.3129146	18920054.0	1.0092309
1.3373729	19242524.0	1.0096059
1.3622868	19635268.0	1.0076514
1.3876648	20018182.0	1.0081179
1.4135156	20376734.0	1.0109601
1.439848	20819486.0	1.0079101
1.4666709	21208280.0	1.0125219
1.4939935	21571556.0	1.0069125
1.5218251	21955140.0	1.0081186
1.5501751	22391584.0	1.0086818
1.5790533	22889342.0	1.008433
1.6084695	23278324.0	1.0119131
1.6384336	23697158.0	1.0070982
1.668956	24184898.0	1.0109782
1.700047	24517856.0	1.0111922
1.7317171	25081566.0	1.0099996
1.7639773	25614338.0	1.0081868
1.7968384	25843362.0	1.0089667
1.8303117	26525718.0	1.0120035
1.8644085	26870128.0	1.0117218
1.8991406	27479080.0	1.0082489
1.9345197	27687914.0	1.0129131
1.9705578	28338572.0	1.0079161
2.0072673	28769416.0	1.0101626
2.0446607	29211392.0	1.010969
2.0827506	29994030.0	1.0040814
2.1215502	30335192.0	1.0121757
2.1610725	31020392.0	1.0078495
2.2013311	31360656.0	1.0071656
2.2423397	31748628.0	1.0082886
2.2841122	32164356.0	1.0051932
2.3266629	32855134.0	1.0065863
2.3700063	33387086.0	1.0059766
2.4141571	33720784.0	1.0075449
2.4591304	34614290.0	1.0087612
2.5049415	35005668.0	1.0059732
2.5516061	35508384.0	1.009248
2.5991399	35825910.0	1.0147549
2.6475593	37287736.0	0.99941224
2.6968806	37005270.0	1.0127149
2.7471208	37675256.0	1.0074407
2.7982969	38188470.0	1.0114151
2.8504263	39083740.0	1.012209
2.9035269	39752650.0	1.0143898
2.9576167	39683076.0	1.0124024
3.0127141	40548804.0	1.0120466
3.0688379	40394252.0	1.0133636
3.1260072	41710028.0	1.0061424
3.1842416	41881140.0	1.0175974
3.2435608	41671224.0	1.0293604
3.3039851	42672212.0	1.0145893
3.365535	45309020.0	1.0039697
3.4282315	44759940.0	1.0120128
3.492096	44968464.0	1.0127764
3.5571502	46175490.0	1.0115767
3.6234163	47576028.0	1.0073899
3.6909169	48448470.0	1.0027795
3.759675	49934150.0	1.0078238
3.8297139	49451844.0	1.0227989
3.9010576	49778508.0	1.0106641
3.9737304	48541680.0	1.0117704
4.047757	50202700.0	1.0099995
4.1231626	50202700.0	1.0099995
4.1999729	50202700.0	1.0099995
4.2782142	50202700.0	1.0099995
4.357913	50202700.0	1.0099995
4.4390965	50202700.0	1.0099995
4.5217924	50202700.0	1.0099995
4.6060288	50202700.0	1.0099995
4.6918345	50202700.0	1.0099995
4.7792386	50202700.0	1.0099995
4.868271	50202700.0	1.0099995
4.958962	50202700.0	1.0099995
5.0513425	50202700.0	1.0099995
5.1454439	50202700.0	1.0099995
5.2412983	50202700.0	1.0099995
5.3389384	50202700.0	1.0099995
5.4383974	50202700.0	1.0099995
5.5397093	50202700.0	1.0099995
5.6429085	50202700.0	1.0099995
5.7480302	50202700.0	1.0099995
5.8551102	50202700.0	1.0099995
5.9641849	50202700.0	1.0099995
6.0752917	50202700.0	1.0099995
6.1884682	50202700.0	1.0099995
6.3037532	50202700.0	1.0099995
6.4211857	50202700.0	1.0099995
6.5408059	50202700.0	1.0099995
6.6626545	50202700.0	1.0099995
6.7867731	50202700.0	1.0099995
6.9132038	50202700.0	1.0099995
7.0419898	50202700.0	1.0099995
7.1731749	50202700.0	1.0099995
7.306804	50202700.0	1.0099995
7.4429223	50202700.0	1.0099995
7.5815765	50202700.0	1.0099995
7.7228136	50202700.0	1.0099995
7.8666818	50202700.0	1.0099995
8.0132301	50202700.0	1.0099995
8.1625085	50202700.0	1.0099995
8.3145678	50202700.0	1.0099995
8.4694598	50202700.0	1.0099995
8.6272373	50202700.0	1.0099995
8.787954	50202700.0	1.0099995
8.9516647	50202700.0	1.0099995
9.1184252	50202700.0	1.0099995
9.2882923	50202700.0	1.0099995
9.4613238	50202700.0	1.0099995
9.6375787	50202700.0	1.0099995
9.817117	50202700.0	1.0099995
10.0	50202700.0	1.0099995
