# T9	Mean Rate	One Sigma
0.0178033	650005000.0	1.0026804
0.018135	649546700.0	1.0026802
0.0184728	649085000.0	1.0026798
0.0188169	648619970.0	1.0026795
0.0191675	648151500.0	1.0026792
0.0195246	647679740.0	1.0026789
0.0198883	647204500.0	1.0026785
0.0202588	646725760.0	1.0026783
0.0206362	646243600.0	1.0026779
0.0210206	645757800.0	1.0026776
0.0214122	645268700.0	1.0026772
0.0218111	644775940.0	1.0026768
0.0222174	644279550.0	1.0026765
0.0226313	643779700.0	1.0026761
0.0230529	643276100.0	1.0026758
0.0234823	642768960.0	1.0026754
0.0239198	642258240.0	1.002675
0.0243654	641743700.0	1.0026747
0.0248193	641225600.0	1.0026743
0.0252817	640703600.0	1.002674
0.0257526	640178050.0	1.0026735
0.0262324	639648600.0	1.0026731
0.0267211	639115460.0	1.0026728
0.0272188	638578400.0	1.0026723
0.0277259	638037500.0	1.002672
0.0282424	637492740.0	1.0026715
0.0287685	636944200.0	1.0026711
0.0293045	636391740.0	1.0026706
0.0298504	635835140.0	1.0026702
0.0304065	635274750.0	1.0026697
0.0309729	634710340.0	1.0026693
0.0315499	634141760.0	1.0026689
0.0321376	633569400.0	1.0026684
0.0327363	632992830.0	1.0026679
0.0333462	632412160.0	1.0026674
0.0339674	631827500.0	1.002667
0.0346002	631238600.0	1.0026665
0.0352447	630645500.0	1.002666
0.0359013	630048300.0	1.0026655
0.0365701	629447000.0	1.0026649
0.0372514	628841200.0	1.0026644
0.0379453	628231300.0	1.002664
0.0386522	627617100.0	1.0026634
0.0393723	626998460.0	1.0026629
0.0401057	626375600.0	1.0026623
0.0408529	625748300.0	1.0026617
0.0416139	625116600.0	1.0026612
0.0423891	624480600.0	1.0026606
0.0431788	623840000.0	1.00266
0.0439832	623195100.0	1.0026594
0.0448025	622545660.0	1.0026588
0.0456372	621891500.0	1.0026582
0.0464873	621233000.0	1.0026577
0.0473533	620569860.0	1.002657
0.0482355	619902140.0	1.0026565
0.0491341	619229630.0	1.0026559
0.0500494	618552770.0	1.0026551
0.0509818	617871040.0	1.0026546
0.0519315	617184500.0	1.0026538
0.0528989	616493440.0	1.0026532
0.0538844	615797570.0	1.0026525
0.0548882	615096800.0	1.0026518
0.0559107	614391300.0	1.0026511
0.0569523	613681000.0	1.0026505
0.0580132	612965800.0	1.0026498
0.059094	612245760.0	1.0026491
0.0601948	611520830.0	1.0026484
0.0613162	610791000.0	1.0026475
0.0624584	610056000.0	1.0026468
0.063622	609316200.0	1.0026461
0.0648072	608571460.0	1.0026453
0.0660145	607821630.0	1.0026445
0.0672443	607066750.0	1.0026437
0.068497	606306750.0	1.0026429
0.069773	605541800.0	1.0026422
0.0710728	604771700.0	1.0026413
0.0723968	603996500.0	1.0026405
0.0737455	603216100.0	1.0026397
0.0751193	602430500.0	1.0026388
0.0765187	601639900.0	1.0026379
0.0779442	600843970.0	1.002637
0.0793962	600042800.0	1.0026362
0.0808752	599236500.0	1.0026352
0.0823819	598424960.0	1.0026343
0.0839166	597608000.0	1.0026335
0.0854798	596786000.0	1.0026325
0.0870722	595958600.0	1.0026315
0.0886943	595125950.0	1.0026306
0.0903466	594288000.0	1.0026296
0.0920297	593444800.0	1.0026286
0.0937441	592596300.0	1.0026276
0.0954904	591742400.0	1.0026267
0.0972693	590883140.0	1.0026256
0.0990814	590018750.0	1.0026245
0.1009272	589149000.0	1.0026236
0.1028073	588273860.0	1.0026225
0.1047225	587393500.0	1.0026214
0.1066734	586507650.0	1.0026202
0.1086606	585616800.0	1.0026191
0.1106848	584720400.0	1.0026181
0.1127468	583818800.0	1.0026169
0.1148472	582912000.0	1.0026158
0.1169866	582000000.0	1.0026146
0.119166	581082600.0	1.0026134
0.1213859	580160200.0	1.0026122
0.1236472	579232500.0	1.002611
0.1259506	578299650.0	1.0026097
0.128297	577361600.0	1.0026085
0.130687	576418560.0	1.0026072
0.1331216	575470460.0	1.0026059
0.1356015	574517250.0	1.0026046
0.1381276	573559100.0	1.0026033
0.1407008	572596030.0	1.002602
0.1433219	571628160.0	1.0026007
0.1459919	570655360.0	1.0025992
0.1487115	569677760.0	1.0025978
0.1514819	568695500.0	1.0025965
0.1543038	567708540.0	1.0025951
0.1571784	566717000.0	1.0025935
0.1601064	565720900.0	1.0025921
0.1630891	564720450.0	1.0025905
0.1661273	563715650.0	1.0025891
0.169222	562706500.0	1.0025876
0.1723745	561693250.0	1.002586
0.1755856	560675840.0	1.0025843
0.1788566	559654460.0	1.0025828
0.1821885	558629200.0	1.0025811
0.1855825	557600200.0	1.0025795
0.1890397	556567400.0	1.0025778
0.1925614	555531300.0	1.0025761
0.1961486	554491700.0	1.0025743
0.1998026	553448900.0	1.0025727
0.2035248	552402900.0	1.0025709
0.2073162	551353900.0	1.0025691
0.2111783	550302140.0	1.0025672
0.2151123	549247700.0	1.0025654
0.2191197	548190700.0	1.0025635
0.2232016	547131400.0	1.0025616
0.2273597	546070140.0	1.0025595
0.2315951	545006660.0	1.0025576
0.2359095	543941600.0	1.0025556
0.2403043	542874900.0	1.0025536
0.2447809	541806800.0	1.0025514
0.2493409	540737660.0	1.0025494
0.2539859	539667650.0	1.0025473
0.2587174	538596860.0	1.0025451
0.2635371	537525800.0	1.0025429
0.2684465	536454340.0	1.0025406
0.2734474	535383070.0	1.0025383
0.2785414	534312160.0	1.002536
0.2837304	533241700.0	1.0025337
0.289016	532172380.0	1.0025313
0.2944	531104100.0	1.0025289
0.2998844	530037380.0	1.0025265
0.305471	528972400.0	1.002524
0.3111616	527909630.0	1.0025214
0.3169582	526849020.0	1.0025189
0.3228628	525791460.0	1.0025163
0.3288774	524736770.0	1.0025136
0.3350041	523685800.0	1.0025109
0.3412449	522638700.0	1.0025082
0.3476019	521595400.0	1.0025053
0.3540774	520556900.0	1.0025026
0.3606735	519523360.0	1.0024997
0.3673925	518495100.0	1.0024967
0.3742366	517472640.0	1.0024937
0.3812083	516456220.0	1.0024908
0.3883098	515446530.0	1.0024877
0.3955436	514443740.0	1.0024846
0.4029122	513448300.0	1.0024815
0.4104181	512460900.0	1.0024782
0.4180637	511481630.0	1.002475
0.4258518	510511200.0	1.0024717
0.433785	509550000.0	1.0024683
0.441866	508598430.0	1.0024649
0.4500975	507656900.0	1.0024614
0.4584824	506726430.0	1.002458
0.4670234	505806500.0	1.0024544
0.4757236	504898620.0	1.0024508
