#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.056100	2.107000e-02	7.818496e-02	3.502253e-03	7.818496e-04
0.086400	3.303000e-02	8.363128e-02	2.690576e-03	8.363128e-04
0.116400	4.313000e-02	9.216793e-02	2.249032e-03	9.216793e-04
0.157300	5.601000e-02	1.076930e-01	2.774765e-03	1.076930e-03
0.189600	6.260000e-02	1.160590e-01	2.378789e-03	1.160590e-03
0.235100	6.955000e-02	1.267193e-01	2.279539e-03	1.267193e-03
0.278600	8.022000e-02	1.466175e-01	2.607858e-03	1.466175e-03
0.323000	8.434000e-02	1.562916e-01	3.335308e-03	1.562916e-03
