#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.014850	1.210000e-03	6.207543e-02	2.565100e-03	2.083068e-03
0.024660	5.000000e-03	6.867506e-02	2.747002e-03	2.304532e-03
0.039620	1.260000e-02	7.320850e-02	2.905099e-03	2.456661e-03
0.041000	1.320000e-02	7.292314e-02	2.762240e-03	2.447085e-03
0.050000	1.790000e-02	7.588819e-02	2.967694e-03	2.546583e-03
0.052000	1.810000e-02	7.321259e-02	2.831426e-03	2.456798e-03
0.076000	2.980000e-02	8.300976e-02	2.785563e-03	2.785563e-03
0.102000	3.940000e-02	8.999373e-02	3.197747e-03	3.019924e-03
0.128000	4.900000e-02	1.006064e-01	3.490425e-03	3.376053e-03
