#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.014850	1.210000e-03	6.207543e-02	3.591140e-03	2.100296e-03
0.024660	4.700000e-03	6.455455e-02	2.747002e-03	2.184177e-03
0.039620	1.180000e-02	6.856034e-02	2.905099e-03	2.319711e-03
0.041000	1.270000e-02	7.016090e-02	3.314688e-03	2.373865e-03
0.050000	1.630000e-02	6.910489e-02	2.543738e-03	2.338135e-03
0.052000	1.670000e-02	6.754974e-02	2.426937e-03	2.285518e-03
0.076000	2.660000e-02	7.409596e-02	2.507006e-03	2.507006e-03
0.102000	3.440000e-02	7.857320e-02	2.740926e-03	2.658492e-03
0.128000	4.220000e-02	8.664468e-02	3.285106e-03	2.931587e-03
