#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.056100	1.977000e-02	7.336102e-02	4.037680e-03	7.336102e-04
0.086400	2.955000e-02	7.481999e-02	2.543247e-03	7.481999e-04
0.116400	3.765000e-02	8.045728e-02	1.889448e-03	8.045728e-04
0.157300	4.577000e-02	8.800410e-02	2.010249e-03	8.800410e-04
0.189600	5.309000e-02	9.842768e-02	2.197926e-03	9.842768e-04
0.235100	5.847000e-02	1.065316e-01	1.834945e-03	1.065316e-03
0.278600	6.802000e-02	1.243196e-01	2.032828e-03	1.243196e-03
0.323000	7.455000e-02	1.381496e-01	2.095142e-03	1.381496e-03
