T (K)	Mean Rate	1 sigma
1000000.0	1.4293254514780494e-08	1.1768476304215034e-09
2000000.0	6.335461819746124e-05	1.424506684987008e-06
3000000.0	0.003399610292566066	3.36848155068468e-05
4000000.0	0.04140094538820616	0.0005172309042062095
5000000.0	0.24351763164507673	0.0033510273879676653
6000000.0	0.936315827933783	0.013599176211527115
7000000.0	2.733236841345243	0.04110702153663099
8000000.0	6.590966302810232	0.10026061543588277
9000000.0	13.828900584832622	0.20794804851065254
10000000.0	26.118769951400534	0.381148148269354
11000000.0	45.454167818227745	0.6351515321039252
12000000.0	74.10873136026179	0.982850182077074
13000000.0	114.5894111676243	1.4351169820672254
14000000.0	169.5890021270812	2.0019430906502675
15000000.0	241.94044674128406	2.693869687608112
16000000.0	334.5743761488386	3.523416197893024
18000000.0	592.6748154086679	5.663838062399064
20000000.0	967.9434700817374	8.618049538498452
25000000.0	2571.1749248160104	21.926712377980603
30000000.0	5386.1095375669265	49.688632116278065
40000000.0	15673.914488655102	170.16800428727873
50000000.0	33259.78927188925	391.05883565421
60000000.0	58772.9301153166	716.9836849994678
70000000.0	92326.29018475214	1148.0208656013933
80000000.0	133739.77869375143	1682.1677338918312
90000000.0	182683.20041205623	2315.5752102423216
100000000.0	238757.25530760214	3042.5041148229975
110000000.0	301536.49477323965	3855.858779461959
120000000.0	370591.6530367092	4748.051089504399
130000000.0	445501.46598678996	5711.762971492823
140000000.0	525859.1777144807	6740.421415451699
150000000.0	611276.2371424666	7828.385460494492
160000000.0	701384.3670188382	8970.913105463038
180000000.0	894307.5331932957	11404.09251103912
200000000.0	1102110.5645177104	14012.37133021804
250000000.0	1673110.9576227402	21122.887188189186
300000000.0	2297773.3952831174	28714.708342071342
350000000.0	2958336.2406884106	36396.395326596234
400000000.0	3643049.304333234	43933.964895922436
450000000.0	4344130.374751145	51222.22002505989
500000000.0	5056344.897432734	58218.4676291727
600000000.0	6500694.2584605785	71352.83917877254
700000000.0	7957250.691171648	84103.31745203094
800000000.0	9414702.11353644	99100.58205068944
900000000.0	10865166.537606042	120748.70474408213
1000000000.0	12302384.260400174	153261.52679507574
1250000000.0	15801171.988211239	290131.55071801966
1500000000.0	19097632.08408685	491392.61231720925
1750000000.0	22112602.174678534	729157.2295327082
2000000000.0	24786566.503798034	979291.0373452549
2500000000.0	29014155.146435425	1452799.8902654124
3000000000.0	31814696.43331938	1839065.4092439646
3500000000.0	33433405.842699137	2123695.0896866927
4000000000.0	34157783.59994359	2317326.080590518
5000000000.0	33880788.26755874	2502128.7296382915
6000000000.0	32379460.5312223	2518412.3469602237
7000000000.0	30396450.540234134	2447614.814013627
8000000000.0	28297617.29426526	2335727.7877399507
9000000000.0	26254483.39110145	2207598.2244640263
10000000000.0	24341349.76741794	2076340.0680759263
