D/H	He3/H	Yp
2.4568368556121476e-05	1.0329117843133196e-05	0.2458172224748212
2.4490077471208906e-05	1.0310356264247415e-05	0.245820891248528
2.4663481976614318e-05	1.0351681584736189e-05	0.24580510209131176
2.4271758777377276e-05	1.0262070591978429e-05	0.24582839743462676
2.4362326788026826e-05	1.027820242707923e-05	0.2458464033738521
2.4412117146109808e-05	1.0294325560543173e-05	0.2458246899604854
2.4399399995720937e-05	1.0294412846258497e-05	0.24581274514523246
2.455708704517655e-05	1.0325543271835953e-05	0.24582673201437238
2.4578484747919445e-05	1.0334852411803402e-05	0.2458076385070206
2.432049458238988e-05	1.0270896844468124e-05	0.24584770807401182
