#E_cm (MeV)    S (MeV b)    Statistical Error (MeV b)    Systematic Error (%)
0.00663    0.0517    0.0053    0.064
0.00994    0.0514    0.0020    0.064
0.01491    0.0535    0.0018    0.064
0.01988    0.0546    0.0014    0.064
0.02236    0.0565    0.0011    0.064
0.02982    0.0582    0.0010    0.064
0.03478    0.0594    0.0010    0.064
0.03979    0.0589    0.0008    0.064
0.04472    0.0609    0.0012    0.064
0.04967    0.0593    0.0008    0.064
