#E_cm (MeV)    Cross Section (b)    Total Error (b)
0.01485    0.00121    0.00005
0.02466    0.00500    0.0002
0.03962    0.0126     0.0005
0.0410    0.0132     0.0005
0.0500    0.0179     0.0007
0.0520    0.0181     0.0007
0.0760    0.0298     0.0010
0.102    0.0394     0.0014
0.128    0.0490     0.0017
