#E_cm (MeV)    Cross Section (b)    Total Error (%)
0.98    0.1043    0.0335
1.255    0.1046    0.0335
1.51    0.1038    0.0335
1.75    0.1014    0.0335
2.00    0.0998    0.0335
2.25    0.0986    0.0335
2.50    0.0973    0.0335
2.75    0.0949    0.0335
2.90    0.0937    0.0335
3.10    0.0934    0.0335
