#E_cm (MeV)    S (MeV b)    Statistical Error (MeV b)    Systematic Error (%)
0.279    0.0000031    0.000000651    0.144
0.400    0.0000040    0.000000640    0.144
0.461    0.0000054    0.000000432    0.144
0.535    0.0000074    0.000000444    0.144
0.670    0.0000113    0.000002825    0.144
0.694    0.0000088    0.000001848    0.144
0.860    0.0000129    0.000003741    0.144
1.033    0.0000143    0.000002574    0.144
1.094    0.0000158    0.000003318    0.144
