T (K)	Mean Rate	1 sigma
1000000.0	7.986932364003573e-16	3.6538625154386556e-17
2000000.0	1.6084009422484667e-09	6.101098826687758e-11
3000000.0	2.4432372958928853e-07	7.682047818467531e-09
4000000.0	3.5581413750880056e-06	9.146143063404559e-08
5000000.0	2.0293054336215727e-05	4.320904957185464e-07
6000000.0	7.182248390925115e-05	1.322812847317424e-06
7000000.0	0.0001916314481341447	3.1755394472407204e-06
8000000.0	0.0004247865373044582	6.457674093343525e-06
9000000.0	0.0008263512734942892	1.1584635665112154e-05
10000000.0	0.0014592871662296128	1.8853684486290724e-05
11000000.0	0.0023923033924567166	2.8435972444134306e-05
12000000.0	0.003697928517015633	4.0411263381968636e-05
13000000.0	0.005450899962451884	5.482640974970972e-05
14000000.0	0.007726862578141775	7.17580590409934e-05
15000000.0	0.010601329266303467	9.136328558034344e-05
16000000.0	0.014148854665724589	0.00011391096447664103
18000000.0	0.023552744702492412	0.00016956627613487347
20000000.0	0.036494536391807886	0.00024381172617031897
25000000.0	0.087571393195957	0.0005814953536600596
30000000.0	0.1705199817991944	0.0013806194819572174
40000000.0	0.45030524977101116	0.005610910303528432
50000000.0	0.8995679352297304	0.014173365766958844
60000000.0	1.5268084039738352	0.026729395861817662
70000000.0	2.3309519375336625	0.04235410207018036
80000000.0	3.305475146514187	0.06003439341036274
90000000.0	4.4413452536005344	0.0788486074273565
100000000.0	5.728852729201926	0.09806464923546754
110000000.0	7.158596870131963	0.11720332573969719
120000000.0	8.721927439688773	0.13606460892980068
130000000.0	10.411078321068155	0.1547189015183552
140000000.0	12.219145099652247	0.17347007031108275
150000000.0	14.139994528086639	0.1927969570809287
160000000.0	16.16815310882305	0.21328013861408213
180000000.0	20.527162239379436	0.26007884307742324
200000000.0	25.261786616025518	0.3177882124688283
250000000.0	38.5580966727751	0.5180791901931656
300000000.0	53.655213468547544	0.7855664479126935
350000000.0	70.26776001409833	1.0931347949888022
400000000.0	88.17474797708417	1.4166410122803963
450000000.0	107.20507850772692	1.7373246857618998
500000000.0	127.22501182190331	2.04125110897455
600000000.0	169.8261816496867	2.564118522643117
700000000.0	215.32599304319052	2.9493833225325106
800000000.0	263.2473197076047	3.1983860199856182
900000000.0	313.21779956535806	3.3280545596874704
1000000000.0	364.9359968911807	3.3569424628845805
1250000000.0	500.3388968257223	3.0750915080593595
1500000000.0	642.2622352498884	2.459646872452629
1750000000.0	788.6684333042895	2.233305350212381
2000000000.0	937.9974584088463	3.572409902621972
2500000000.0	1239.935244929451	9.27922745547943
3000000000.0	1537.0546651158268	16.619431337950562
3500000000.0	1818.6229897574403	24.404258902903944
4000000000.0	2075.914542876507	31.94620821384507
5000000000.0	2498.54817958661	44.92560849184413
6000000000.0	2793.905261593471	54.43719825982486
7000000000.0	2977.96035611787	60.759033831303014
8000000000.0	3074.8410420557434	64.55415832945135
9000000000.0	3107.4818832716687	66.47862840521333
10000000000.0	3094.5964158865645	67.06854717230642
