#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.279000	2.393931e-06	3.100000e-06	7.893503e-07	4.464000e-07
0.400000	2.774859e-06	4.000000e-06	8.610319e-07	5.760000e-07
0.461000	3.548752e-06	5.400000e-06	8.895424e-07	7.776000e-07
0.535000	4.565223e-06	7.400000e-06	1.154400e-06	1.065600e-06
0.670000	6.263456e-06	1.130000e-05	3.260123e-06	1.627200e-06
0.694000	4.791124e-06	8.800000e-06	2.240736e-06	1.267200e-06
0.860000	6.257267e-06	1.290000e-05	4.176812e-06	1.857600e-06
1.033000	6.234196e-06	1.430000e-05	3.296328e-06	2.059200e-06
1.094000	6.652455e-06	1.580000e-05	4.023140e-06	2.275200e-06
