#E_cm (MeV)    Cross Section (b)    Statistical Error (b)    Systematic Error (%)
0.0561    0.01977    0.00107    0.01
0.0864    0.02955    0.00096    0.01
0.1164    0.03765    0.00080    0.01
0.1573    0.04577    0.00094    0.01
0.1896    0.05309    0.00106    0.01
0.2351    0.05847    0.00082    0.01
0.2786    0.06802    0.00088    0.01
0.3230    0.07455    0.00085    0.01
