D/H	He3/H	Yp
2.499833946383502e-05	1.0245568351255037e-05	0.24572599590117744
2.488980524293059e-05	1.0307713693329298e-05	0.24572306964694426
2.4644841957116734e-05	1.0397131651782495e-05	0.24572765136977118
2.53132668015313e-05	1.0096490959424934e-05	0.24572457562848052
2.505089870562406e-05	1.022655998124248e-05	0.24572699902700126
2.5150793954602083e-05	1.018774912825211e-05	0.24572560288785464
2.5194936096665402e-05	1.01329356895764e-05	0.24572820070938045
2.4797325580465667e-05	1.0347914929265543e-05	0.24572829562017723
2.4728118599115884e-05	1.0372689972510034e-05	0.24572932226933356
2.4931515706450165e-05	1.029945737772999e-05	0.2457258988241744
