T (K)	Mean Rate	1 sigma
1000000.0	8.379676685925812e-16	7.517187740104927e-17
2000000.0	1.692055750699093e-09	1.3892957623660294e-10
3000000.0	2.571836622593704e-07	1.928114099509289e-08
4000000.0	3.740384543683312e-06	2.608563078360714e-07
5000000.0	2.1273901983797302e-05	1.3977105834836166e-06
6000000.0	7.503633236385439e-05	4.686629167535088e-06
7000000.0	0.00019951187384248802	1.1947270199951395e-05
8000000.0	0.0004408719295601754	2.5488872780554857e-05
9000000.0	0.0008553891580618015	4.79604145270944e-05
10000000.0	0.0015073580737361661	8.214946160262962e-05
11000000.0	0.002466923966578325	0.00013080588015732311
12000000.0	0.003808078675858244	0.0001965358077654002
13000000.0	0.005606940428505181	0.00028176250500690285
14000000.0	0.007940341995071001	0.0003887282093902963
15000000.0	0.010884705817645703	0.0005195117244979041
16000000.0	0.01451516884887625	0.0006760457549385279
18000000.0	0.02412470118489772	0.0010734198830234614
20000000.0	0.03732320690343149	0.0015936128091439212
25000000.0	0.08922197835139103	0.003495107119996114
30000000.0	0.17312885233614972	0.006332051507836147
40000000.0	0.4545490135736199	0.01498448337307511
50000000.0	0.9039926517384939	0.027700739314167527
60000000.0	1.5291362866299598	0.04446504777187437
70000000.0	2.3289346453657553	0.06517460411600184
80000000.0	3.2977383799012716	0.08971713028221195
90000000.0	4.4279280685218785	0.11802075119392816
100000000.0	5.711366479644211	0.15005208432717132
110000000.0	7.140084244793634	0.18578477187940015
120000000.0	8.706552529896028	0.22516764121695057
130000000.0	10.403762592783309	0.2681071747281318
140000000.0	12.225224977813223	0.3144649936041595
150000000.0	14.16493899478921	0.3640650035980076
160000000.0	16.217353093431612	0.4167046159304092
180000000.0	20.640077166971114	0.530227912395732
200000000.0	25.456461296004722	0.653283608858535
250000000.0	39.01827543028853	0.9925881744444034
300000000.0	54.4416553421096	1.3634632219621428
350000000.0	71.41697349204073	1.7559612951881083
400000000.0	89.70234679812779	2.1656622694947396
450000000.0	109.10565347257142	2.591445644960046
500000000.0	129.47248795715308	3.034383103079942
600000000.0	172.61704084026158	3.982778180766396
700000000.0	218.37115750596487	5.03717630284412
800000000.0	266.19590699350624	6.218094192985865
900000000.0	315.6970143110511	7.53044808015363
1000000000.0	366.5775605844045	8.96434911689251
1250000000.0	498.42942158435466	12.951406291729414
1500000000.0	635.1208315110528	17.26599698674762
1750000000.0	775.1055451129554	21.70143679332059
2000000000.0	917.2214553286508	26.17523954324452
2500000000.0	1203.4739878205773	35.26935519773075
3000000000.0	1484.4674109964453	44.79680820743928
3500000000.0	1750.4564530554137	54.84689466247968
4000000000.0	1993.3433274828658	65.17902272274593
5000000000.0	2391.936033378158	85.08214377342723
6000000000.0	2669.9914380349815	101.90464190874144
7000000000.0	2842.702054065361	114.65245076632947
8000000000.0	2932.947260987456	123.47948814656156
9000000000.0	2962.460688984449	129.00483034045044
10000000000.0	2948.968585488379	131.9329093308593
